"Commons categories","statements"
"Photos by JunoCam","P170=Q48546;P1071=Q319;P4082=Q6314027"
"Photos of Earth system by JunoCam","P170=Q48546;P4082=Q6314027;P180=Q2"
"Photos of Earth by JunoCam","P170=Q48546;P4082=Q6314027;P180=Q2"
"Photos of Jupiter system by JunoCam","P170=Q48546;P1071=Q319;P4082=Q6314027;P180=Q319"
"Photos of Jupiter by JunoCam","P170=Q48546;P1071=Q319;P4082=Q6314027;P180=Q319"
"Photos of Europa by JunoCam","P170=Q48546;P1071=Q319;P4082=Q6314027;P180=Q3143"
"Photos of Ganymede by JunoCam","P170=Q48546;P1071=Q319;P4082=Q6314027;P180=Q3169"
"Photos of Io by JunoCam","P170=Q48546;P1071=Q319;P4082=Q6314027;P180=Q3123"
"Photos by the Curiosity rover","P170=Q48485;P1071=Q111"
"Photos by the Curiosity rover Hazcams","P170=Q48485;P1071=Q111;P4082=Q5687794"
"Photos by the Curiosity rover Mastcam","P170=Q48485;P1071=Q111;P4082=Q65163571"
"Photos by the Curiosity rover Navcam","P170=Q48485;P1071=Q111;P4082=Q6982202"
"Photos by ChemCam","P170=Q48485;P1071=Q111;P4082=Q17072223"
"Photos by CheMin","P170=Q48485;P1071=Q111;P4082=Q5088743"
"Photos by MAHLI","P170=Q48485;P1071=Q111;P4082=Q6773127"
"Photos by MARDI","P170=Q48485;P1071=Q111;P4082=Q65163564"
"Photos by the Perseverance rover","P170=Q87749354;P1071=Q111"
"Photos by the Perseverance rover CacheCam","P170=Q87749354;P1071=Q111;P4082=Q85750031"
"Photos by the Perseverance rover Hazcams","P170=Q87749354;P1071=Q111;P4082=Q5687794"
"Photos by the Perseverance rover Mastcams","P170=Q87749354;P1071=Q111;P4082=Q23580626"
"Photos by the Perseverance rover Navcams","P170=Q87749354;P1071=Q111;P4082=Q6982202"
"Photos by the SHERLOC Context Imager","P170=Q87749354;P1071=Q111;P4082=Q18155184"
"Photos by WATSON;Self-portrait photos of the Perseverance rover","P170=Q87749354;P1071=Q111;P4082=Q118464949"
"Photos by VIIRS","P4082=Q16948273"
"Photos of extratropical cyclones by VIIRS","P4082=Q16948273;P180=Q1063457"
"Photos of tropical cyclones by VIIRS","P4082=Q16948273;P180=Q8092"
"Photos of wildfires by VIIRS","P4082=Q16948273;P180=Q169950"