"ESA system","Commons categories"
"Albania","Satellite pictures of Albania"
"Algeria","Satellite pictures of Algeria"
"Algeria Sahara","Satellite pictures of Algeria;Satellite pictures of the Sahara"
"Alps Austria","Satellite pictures of Austria;Satellite pictures of the Alps"
"Alps France","Satellite pictures of France;Satellite pictures of the Alps"
"Alps Germany North Sea Netherlands Lake Garda Italy",
"Alps Italy","Satellite pictures of Italy;Satellite pictures of the Alps"
"Amazon Rainforest Brazil","Satellite pictures of Brazil"
"Amsterdam Netherlands","Satellite pictures of Amsterdam"
"Antarctic","Satellite pictures of Antarctica"
"Arctic","Satellite pictures of the Arctic"
"Arctic Russia","Satellite pictures of the Arctic;Satellite pictures of Russia"
"Argentina Malargüe ESOC Dedicated Control Room ESOC","ESOC"
"Argentina Malargüe Malargüe","Satellite pictures of Argentina"
"Argentina Patagonia","Satellite pictures of Argentina"
"Arizona USA","Satellite pictures of Arizona"
"Atacama Desert Chile","Satellite pictures of Chile"
"Athens Greece","Satellite pictures of Athens"
"Atlantic","Satellite pictures of the Atlantic"
"Atlantic Canary Islands","Satellite pictures of the Canary Islands"
"Australia","Satellite pictures of Australia"
"Australia Adelaide","Satellite pictures of Australia"
"Australia New Norcia","New Norcia Station"
"Australia New Norcia New Norcia","New Norcia Station"
"Austria","Satellite pictures of Austria"
"Austria Germany Lake Constance Switzerland",
"Azores","Satellite pictures of the Azores"
"Azores Portugal","Satellite pictures of the Azores"
"Bahamas","Satellite pictures of the Bahamas"
"Bahrain Persian Gulf","Satellite pictures of the Persian Gulf"
"Bay of Naples","Satellite pictures of the Gulf of Naples"
"Berlin Germany","Satellite pictures of Berlin"
"Black Sea Istanbul Turkey","Satellite pictures of the Black Sea"
"Bolivia","Satellite pictures of Bolivia"
"Borneo Indonesia","Satellite pictures of Borneo"
"Botswana","Satellite pictures of Botswana"
"Brazil","Satellite pictures of Brazil"
"Brazil Amazon Rainforest","Satellite pictures of Brazil"
"California","Satellite pictures of California"
"California USA","Satellite pictures of California"
"Cambodia","Satellite pictures of Cambodia"
"Canada","Satellite pictures of Canada"
"Canada Arctic","Satellite pictures of Canada;Satellite pictures of the Arctic"
"Canada Greenland","Satellite pictures of Canada;Satellite pictures of Greenland"
"Canada Quebec","Satellite pictures of Quebec"
"Canada USA","Satellite pictures of Canada;Satellite pictures of the United States"
"Canaries Canary Islands Spain","Satellite pictures of the Canary Islands"
"Cebreros","Cebreros Station"
"Chad","Satellite pictures of Chad"
"Chile","Satellite pictures of Chile"
"Chile Atacama Desert","Satellite pictures of Chile"
"Chile Atacama dessert","Satellite pictures of Chile"
"China","Satellite pictures of China"
"China Shanghai","Satellite pictures of Shanghai"
"Cyprus","Satellite pictures of Cyprus"
"Czech Republic","Satellite pictures of the Czech Republic"
"Czech Republic Prague","Satellite pictures of Prague"
"Denmark Norway North Sea Scandinavia","Satellite pictures of the North Sea"
"Ecuador","Satellite pictures of Ecuador"
"Egypt","Satellite pictures of Egypt"
"Egypt Middle East Nile","Satellite pictures of Egypt"
"Egypt Nile","Satellite pictures of Egypt"
"ESOC","ESOC"
"ESOC Darmstadt Operations Centre Darmstadt","ESOC"
"ESOC Dedicated Control Room ESOC","ESOC"
"ESOC ESOC","ESOC"
"ESOC ESOC Brussels","ESOC"
"ESOC ESOC Dedicated Control Room ESOC","ESOC"
"ESOC ESOC ESOC Dedicated Control Room ESOC Dedicated Control Room","ESOC"
"ESOC ESOC ESOC Dedicated Control Room ESOC Flight Dynamics Room ESOC Main Control Room ESOC Dedicated Control Room ESOC Flight Dynamics Room ESOC Main Control Room","ESOC"
"ESOC ESOC ESOC Dedicated Control Room ESOC Main Control Room ESOC Dedicated Control Room ESOC Flight Dynamics Room Redu Toulouse Space Centre (CST)","ESOC"
"ESOC ESOC ESOC Main Control Room","ESOC"
"ESOC ESOC ESOC Main Control Room ESOC Main Control Room","ESOC"
"ESOC ESOC ESRIN","ESOC"
"ESOC ESOC Flight Dynamics Room ESOC Flight Dynamics Room ESOC","ESOC"
"ESOC ESOC Main Control Room","ESOC"
"ESRIN","ESA Centre for Earth Observation"
"ESTEC ESOC ESOC","ESA facilities"
"Estonia","Satellite pictures of Estonia"
"Estonia Finland Baltic Sea Norway Russia Sweden","Satellite pictures of the Baltic Sea"
"Estonia Finland Russia",
"France","Satellite pictures of France"
"France Corsica","Satellite pictures of Corsica"
"France Ireland United Kingdom","Satellite pictures of the United Kingdom"
"Germany","Satellite pictures of Germany"
"Germany Berlin","Satellite pictures of Berlin"
"Great Britain Ireland France","Satellite pictures of the United Kingdom"
"Greece","Satellite pictures of Greece"
"Greece Athens","Satellite pictures of Athens"
"Greece Turkey Lybia","Satellite pictures of the Mediterranean Basin"
"Greenland","Satellite pictures of Greenland"
"Greenland Arctic","Satellite pictures of Greenland"
"Greenland Canada Arctic","Satellite pictures of Greenland"
"Himalayas","Satellite pictures of the Himalayas"
"Himalayas Nepal India","Satellite pictures of the Himalayas"
"Iceland","Satellite pictures of Iceland"
"India","Satellite pictures of India"
"Indonesia","Satellite pictures of Indonesia"
"Iran","Satellite pictures of Iran"
"Ireland","Satellite pictures of Ireland"
"Italy","Satellite pictures of Italy"
"Italy Mediterranean","Satellite pictures of Italy"
"Italy Naples Mt Vesuvius","Satellite pictures of the Gulf of Naples"
"Italy Rome","Satellite pictures of Rome"
"Italy Sicily","Satellite pictures of Sicily"
"Japan","Satellite pictures of Japan"
"Japan Tokyo","Satellite pictures of Tokyo"
"Kazakhstan","Satellite pictures of Kazakhstan"
"Kazakhstan Aral Sea","Satellite pictures of Aral Sea"
"Kenya","Satellite pictures of Kenya"
"Kourou","Satellite pictures of French Guiana"
"Lake Baikal","Satellite pictures of Baikal lake"
"Lake Garda Italy","Satellite pictures of Lake Garda"
"London United Kingdom","Satellite pictures of London"
"Malargüe","Malargüe Station"
"Malargüe Malargüe Argentina","Malargüe Station"
"Maspalomas","Maspalomas Station"
"Mexico","Satellite pictures of Mexico"
"Mississippi USA","Satellite pictures of Mississippi"
"Mongolia","Satellite pictures of Mongolia"
"Morocco","Satellite pictures of Morocco"
"Myanmar","Satellite pictures of Myanmar"
"Namibia","Satellite pictures of Namibia"
"Nepal","Satellite pictures of Nepal"
"Nepal Himalayas","Satellite pictures of the Himalayas"
"Netherlands","Satellite pictures of the Netherlands"
"New Norcia New Norcia","New Norcia Station"
"New Norcia New Norcia Australia","New Norcia Station"
"New Zealand","Satellite pictures of New Zealand"
"North Sea","Satellite pictures of the North Sea"
"Oslo Norway","Satellite pictures of Norway"
"Pacific ocean","Satellite pictures of the Pacific Ocean"
"Panama","Satellite pictures of Panama"
"Paris France","Satellite pictures of Paris"
"Paris Paris France","Satellite pictures of Paris"
"Philippines","Satellite pictures of the Philippines"
"Portugal Lisbon","Satellite pictures of Lisbon"
"Portugal Spain","Satellite pictures of the Iberian Peninsula"
"Prague","Satellite pictures of Prague"
"Red Sea Saudi Arabia","Satellite pictures of the Red Sea"
"Red Sea Serbia","Satellite pictures of the Red Sea"
"Redu","Redu station"
"Romania","Satellite pictures of Romania"
"Rome","Satellite pictures of Rome"
"Rome Italy","Satellite pictures of Rome"
"Russia","Satellite pictures of Russia"
"Russia Siberia","Satellite pictures of Russia"
"Sahara","Satellite pictures of the Sahara"
"Saudi Arabia","Satellite pictures of Saudi Arabia"
"Saudi Arabia Iran Iraq Persian Gulf Qatar Kuwait","Satellite pictures of the Middle East"
"Scandinavia Sweden","Satellite pictures of the Nordic countries"
"Serbia","Satellite pictures of Serbia"
"Serbia Algeria",
"Serbia Botswana",
"Serbia Democratic Republic of Congo",
"Serbia Uganda",
"Serbia Uganda Democratic Republic of Congo",
"Serbia Zambia",
"Sierra Leone","Satellite pictures of Sierra Leone"
"South Africa","Satellite pictures of South Africa"
"Spain","Satellite pictures of Spain"
"Spain Madrid","Satellite pictures of Madrid"
"Sri Lanka","Satellite pictures of Sri Lanka"
"Sudan","Satellite pictures of Sudan"
"Switzerland","Satellite pictures of Switzerland"
"Switzerland Alps The Alps","Satellite pictures of the Alps;Satellite pictures of Switzerland"
"The Alps","Satellite pictures of the Alps"
"The Netherlands","Satellite pictures of the Netherlands"
"The Netherlands Amsterdam Rotterdam","Satellite pictures of the Netherlands"
"Turkey Istanbul","Satellite pictures of Istanbul"
"United Arab Emirates (UAE)","Satellite pictures of the United Arab Emirates"
"United Kingdom","Satellite pictures of the United Kingdom"
"Uruguay","Satellite pictures of Uruguay"
"USA","Satellite pictures of the United States"
"USA California","Satellite pictures of California"
"USA Mississippi","Satellite pictures of Mississippi"
"USA Utah","Satellite pictures of Utah"
"USA Utah Salt Lake City","Satellite pictures of Utah"
"Venice","Satellite pictures of Venice"
"Vienna","Satellite pictures of Austria"
"Vietnam","Satellite pictures of Vietnam"
"Washington","Satellite pictures of the United States"
